split,candidate_group,video_id,video_path,rep_index,start_frame,bottom_frame,end_frame,ranking_score,torso_angle__bottom_mean,torso_angle__ascent_mean,torso_angle__ascent_maximum,torso_angle__setup_to_bottom,review_label,review_confidence,review_notes
train,high,47326_5,/Users/josephkamil/Desktop/Capstone/videos/videos/47326_5.mp4,0,0,42,78,38.647018909454346,37.14055252075195,34.9017219543457,42.795310974121094,19.6776180267334,,,
train,high,50435_1,/Users/josephkamil/Desktop/Capstone/videos/videos/50435_1.mp4,0,0,48,114,37.34300184249878,33.514976501464844,31.127098083496094,43.320003509521484,21.57672691345215,,,
train,high,33503_2,/Users/josephkamil/Desktop/Capstone/videos/videos/33503_2.mp4,0,6,90,120,36.93769884109497,33.809959411621094,23.998924255371094,45.13582992553711,22.350183486938477,,,
train,high,48638_2,/Users/josephkamil/Desktop/Capstone/videos/videos/48638_2.mp4,0,0,108,150,36.74527616500854,34.275630950927734,33.07524871826172,41.4289665222168,16.936708450317383,,,
train,high,37958_1,/Users/josephkamil/Desktop/Capstone/videos/videos/37958_1.mp4,0,0,42,126,36.645223712921144,30.876108169555664,30.873720169067383,43.69426345825195,18.08641815185547,,,
train,high,46406_3,/Users/josephkamil/Desktop/Capstone/videos/videos/46406_3.mp4,0,0,42,66,35.30311994552613,33.276588439941406,32.204864501953125,39.82358169555664,12.624181747436523,,,
train,high,50118_3,/Users/josephkamil/Desktop/Capstone/videos/videos/50118_3.mp4,0,6,54,108,34.701291847229,32.563995361328125,25.880434036254883,41.14501953125,16.233928680419922,,,
train,high,37069_1,/Users/josephkamil/Desktop/Capstone/videos/videos/37069_1.mp4,0,6,48,90,34.350956964492795,21.751873016357422,27.177404403686523,46.28543472290039,6.695809364318848,,,
train,high,36991_2,/Users/josephkamil/Desktop/Capstone/videos/videos/36991_2.mp4,0,18,66,138,33.2468321800232,32.51022720336914,29.258220672607422,35.89323043823242,26.420320510864258,,,
train,high,47525_3,/Users/josephkamil/Desktop/Capstone/videos/videos/47525_3.mp4,0,6,30,60,32.514066028594975,33.250518798828125,26.311052322387695,34.73741912841797,31.41032600402832,,,
train,high,47251_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47251_1.mp4,0,0,42,90,32.46391415596008,26.384233474731445,26.234718322753906,39.683006286621094,15.588179588317871,,,
train,high,48802_1,/Users/josephkamil/Desktop/Capstone/videos/videos/48802_1.mp4,0,6,42,102,32.30623610019684,23.007431030273438,25.188941955566406,42.30239486694336,7.307850360870361,,,
train,high,47649_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47649_1.mp4,0,18,102,156,32.01712734103203,19.47628402709961,27.45425033569336,43.43576431274414,-1.2135177850723267,,,
train,high,37902_1,/Users/josephkamil/Desktop/Capstone/videos/videos/37902_1.mp4,0,6,42,102,31.80771532058716,31.481801986694336,25.590852737426758,36.18946075439453,14.48727798461914,,,
train,high,36309_3,/Users/josephkamil/Desktop/Capstone/videos/videos/36309_3.mp4,0,12,60,90,31.476043224334717,29.05082893371582,22.212316513061523,36.97475814819336,25.669872283935547,,,
train,high,46667_4,/Users/josephkamil/Desktop/Capstone/videos/videos/46667_4.mp4,0,6,36,84,31.446859264373778,29.88239097595215,24.102231979370117,36.0853385925293,22.262916564941406,,,
train,high,48840_5,/Users/josephkamil/Desktop/Capstone/videos/videos/48840_5.mp4,0,6,42,78,31.313057231903077,35.6102294921875,24.031084060668945,33.008697509765625,21.998685836791992,,,
train,high,45946_1,/Users/josephkamil/Desktop/Capstone/videos/videos/45946_1.mp4,0,6,42,198,31.164410481997766,15.677666664123535,27.89288330078125,43.332157135009766,0.006771766114979982,,,
train,high,46109_1,/Users/josephkamil/Desktop/Capstone/videos/videos/46109_1.mp4,0,6,36,78,31.038161325454713,18.29133415222168,15.723005294799805,45.74814224243164,8.933112144470215,,,
train,high,48004_12,/Users/josephkamil/Desktop/Capstone/videos/videos/48004_12.mp4,0,6,30,72,30.728597927093503,29.556673049926758,27.599260330200195,34.344703674316406,12.944515228271484,,,
train,middle,36261_1,/Users/josephkamil/Desktop/Capstone/videos/videos/36261_1.mp4,0,6,36,180,29.214868450164797,25.05704116821289,19.664892196655273,36.59323501586914,14.420244216918945,,,
train,middle,49053_3,/Users/josephkamil/Desktop/Capstone/videos/videos/49053_3.mp4,0,6,42,78,28.984140396118164,22.938602447509766,23.261137008666992,36.58896255493164,6.055622100830078,,,
train,middle,50091_1,/Users/josephkamil/Desktop/Capstone/videos/videos/50091_1.mp4,0,6,30,78,26.984734523296357,23.125394821166992,26.18378257751465,31.633127212524414,3.0013139247894287,,,
train,middle,50601_2,/Users/josephkamil/Desktop/Capstone/videos/videos/50601_2.mp4,0,0,48,120,26.85280590057373,26.871755599975586,21.941247940063477,29.51204490661621,19.811899185180664,,,
train,middle,49070_2,/Users/josephkamil/Desktop/Capstone/videos/videos/49070_2.mp4,0,6,54,120,26.100014257431027,26.774503707885742,23.32187843322754,28.68059539794922,8.03429889678955,,,
train,middle,49203_1,/Users/josephkamil/Desktop/Capstone/videos/videos/49203_1.mp4,0,30,72,138,25.950347995758058,16.53252601623535,24.428504943847656,34.89924621582031,-10.362152099609375,,,
train,middle,33433_2,/Users/josephkamil/Desktop/Capstone/videos/videos/33433_2.mp4,0,6,42,96,25.27780046463013,20.292591094970703,21.01430320739746,30.81205940246582,11.915246963500977,,,
train,middle,32990_6,/Users/josephkamil/Desktop/Capstone/videos/videos/32990_6.mp4,0,12,60,90,25.14654083251953,23.486242294311523,25.449594497680664,27.506149291992188,8.639734268188477,,,
train,middle,49516_1,/Users/josephkamil/Desktop/Capstone/videos/videos/49516_1.mp4,0,0,36,96,24.892279434204102,18.000028610229492,22.142770767211914,30.623977661132812,13.034585952758789,,,
train,middle,47140_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47140_1.mp4,0,66,90,156,24.311562633514406,21.277938842773438,18.562707901000977,28.90837287902832,16.50699806213379,,,
train,middle,36772_6,/Users/josephkamil/Desktop/Capstone/videos/videos/36772_6.mp4,0,0,24,48,23.03706874847412,23.020021438598633,20.30609703063965,24.943666458129883,14.980215072631836,,,
train,middle,49045_2,/Users/josephkamil/Desktop/Capstone/videos/videos/49045_2.mp4,0,0,30,120,22.61587253808975,13.598292350769043,20.123716354370117,30.52248191833496,-1.393695592880249,,,
train,middle,46745_2,/Users/josephkamil/Desktop/Capstone/videos/videos/46745_2.mp4,0,6,30,54,22.59416415691376,20.82977867126465,21.058420181274414,25.682167053222656,6.6790385246276855,,,
train,middle,33297_2,/Users/josephkamil/Desktop/Capstone/videos/videos/33297_2.mp4,0,6,54,108,20.365637731552123,18.92664337158203,17.72167205810547,23.200212478637695,9.790724754333496,,,
train,middle,33671_1,/Users/josephkamil/Desktop/Capstone/videos/videos/33671_1.mp4,0,54,78,120,19.277046775817873,19.687841415405273,14.948514938354492,21.906347274780273,8.244195938110352,,,
train,low,45919_1,/Users/josephkamil/Desktop/Capstone/videos/videos/45919_1.mp4,0,54,84,126,17.527947974205016,7.823297023773193,15.074331283569336,25.567277908325195,-4.527629852294922,,,
train,low,46302_3,/Users/josephkamil/Desktop/Capstone/videos/videos/46302_3.mp4,0,6,42,72,17.326556766033175,8.233627319335938,10.937241554260254,26.44731903076172,-2.8591578006744385,,,
train,low,50352_2,/Users/josephkamil/Desktop/Capstone/videos/videos/50352_2.mp4,0,6,42,102,17.28804724216461,14.721588134765625,15.04168701171875,20.407285690307617,7.9133992195129395,,,
train,low,47717_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47717_1.mp4,0,54,96,126,15.33570303916931,16.294374465942383,14.018383979797363,16.269500732421875,6.473645210266113,,,
train,low,47243_15,/Users/josephkamil/Desktop/Capstone/videos/videos/47243_15.mp4,0,12,36,66,15.10275287628174,14.157382011413574,13.961881637573242,16.975013732910156,5.670483589172363,,,
train,low,50438_3,/Users/josephkamil/Desktop/Capstone/videos/videos/50438_3.mp4,0,6,36,60,14.1116543546319,10.652652740478516,12.6500244140625,17.871421813964844,-0.3444924056529999,,,
train,low,47018_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47018_1.mp4,0,36,72,114,13.849457943439484,10.5149507522583,12.440726280212402,17.204025268554688,2.6112473011016846,,,
train,low,32995_3,/Users/josephkamil/Desktop/Capstone/videos/videos/32995_3.mp4,0,36,108,162,12.633182072639464,10.76988410949707,12.145644187927246,14.353086471557617,6.700779438018799,,,
train,low,46984_2,/Users/josephkamil/Desktop/Capstone/videos/videos/46984_2.mp4,0,12,180,354,12.594178009033204,12.282159805297852,9.07430648803711,14.941489219665527,4.760643005371094,,,
train,low,49712_1,/Users/josephkamil/Desktop/Capstone/videos/videos/49712_1.mp4,0,24,60,102,12.421244764328003,13.035829544067383,8.271147727966309,14.470061302185059,5.460543632507324,,,
train,low,48537_1,/Users/josephkamil/Desktop/Capstone/videos/videos/48537_1.mp4,0,6,48,138,12.094554924964905,12.226819038391113,7.505108833312988,14.407294273376465,6.663625240325928,,,
train,low,46865_1,/Users/josephkamil/Desktop/Capstone/videos/videos/46865_1.mp4,0,6,30,66,11.990276828408241,10.269414901733398,9.933385848999023,14.94682788848877,-0.7433602213859558,,,
train,low,37908_2,/Users/josephkamil/Desktop/Capstone/videos/videos/37908_2.mp4,0,0,60,108,11.757409870624542,10.641886711120605,10.67783260345459,13.71726131439209,2.0548202991485596,,,
train,low,36730_1,/Users/josephkamil/Desktop/Capstone/videos/videos/36730_1.mp4,0,48,78,144,9.242462587356568,7.574684143066406,7.892095565795898,11.064249992370605,4.764948844909668,,,
train,low,46252_1,/Users/josephkamil/Desktop/Capstone/videos/videos/46252_1.mp4,0,0,60,126,7.825956761837006,6.562189102172852,6.630269527435303,9.39411449432373,3.245966672897339,,,
validation,high,33053_1,/Users/josephkamil/Desktop/Capstone/videos/videos/33053_1.mp4,0,36,66,174,50.22255411148071,40.53037643432617,39.809940338134766,61.473384857177734,27.825590133666992,,,
validation,high,48105_1,/Users/josephkamil/Desktop/Capstone/videos/videos/48105_1.mp4,0,0,60,150,49.80827083587647,45.3233757019043,40.07001495361328,58.184303283691406,27.425445556640625,,,
validation,high,46725_1,/Users/josephkamil/Desktop/Capstone/videos/videos/46725_1.mp4,0,6,48,102,44.79205894470215,42.13401794433594,35.08820724487305,52.19216537475586,22.8966064453125,,,
validation,high,36808_1,/Users/josephkamil/Desktop/Capstone/videos/videos/36808_1.mp4,0,0,30,66,42.842220592498784,26.97018814086914,27.759368896484375,58.8577995300293,22.378000259399414,,,
validation,high,48863_2,/Users/josephkamil/Desktop/Capstone/videos/videos/48863_2.mp4,0,12,42,72,42.77097816467285,42.6126594543457,37.757598876953125,47.64011001586914,14.92477035522461,,,
validation,high,47234_2,/Users/josephkamil/Desktop/Capstone/videos/videos/47234_2.mp4,0,54,168,276,39.77424840927124,41.75189208984375,35.75701141357422,42.379825592041016,19.899206161499023,,,
validation,high,33634_10,/Users/josephkamil/Desktop/Capstone/videos/videos/33634_10.mp4,0,0,42,66,38.54686393737793,29.889923095703125,23.936321258544922,50.578189849853516,19.960479736328125,,,
validation,high,49746_5,/Users/josephkamil/Desktop/Capstone/videos/videos/49746_5.mp4,0,0,42,102,36.90136246681213,28.032989501953125,36.77739334106445,44.34351348876953,7.317593574523926,,,
validation,high,47427_1,/Users/josephkamil/Desktop/Capstone/videos/videos/47427_1.mp4,0,6,30,78,35.74751119613647,30.8774356842041,33.695709228515625,41.321144104003906,12.568767547607422,,,
validation,high,49364_3,/Users/josephkamil/Desktop/Capstone/videos/videos/49364_3.mp4,0,6,36,66,35.31309146881103,33.03992462158203,19.478172302246094,43.29253005981445,30.22421646118164,,,
validation,middle,36544_1,/Users/josephkamil/Desktop/Capstone/videos/videos/36544_1.mp4,0,18,54,102,32.43355031013489,16.212499618530273,27.271745681762695,44.82353591918945,10.286166191101074,,,
validation,middle,48294_3,/Users/josephkamil/Desktop/Capstone/videos/videos/48294_3.mp4,0,6,30,72,25.798112531751393,20.551252365112305,23.49555206298828,31.931875228881836,-0.09497173130512238,,,
validation,middle,33843_1,/Users/josephkamil/Desktop/Capstone/videos/videos/33843_1.mp4,0,0,36,78,24.863041591644286,20.227895736694336,22.723373413085938,29.507186889648438,10.155990600585938,,,
validation,middle,50579_2,/Users/josephkamil/Desktop/Capstone/videos/videos/50579_2.mp4,0,0,36,66,23.733219194412232,22.795589447021484,18.932931900024414,27.6004695892334,8.950013160705566,,,
validation,middle,47514_5,/Users/josephkamil/Desktop/Capstone/videos/videos/47514_5.mp4,0,0,30,132,22.745776700973508,10.486611366271973,20.318462371826172,32.74241256713867,-6.215497970581055,,,
validation,low,48890_1,/Users/josephkamil/Desktop/Capstone/videos/videos/48890_1.mp4,0,0,36,114,19.99876308441162,17.614633560180664,18.704532623291016,22.629322052001953,10.790742874145508,,,
validation,low,48414_1,/Users/josephkamil/Desktop/Capstone/videos/videos/48414_1.mp4,0,6,54,96,18.833706665039063,5.897853851318359,14.5310697555542,31.602195739746094,-26.96137237548828,,,
validation,low,36133_2,/Users/josephkamil/Desktop/Capstone/videos/videos/36133_2.mp4,0,30,66,114,18.03725802898407,16.36237907409668,15.20801067352295,21.406352996826172,4.037692546844482,,,
validation,low,33601_2,/Users/josephkamil/Desktop/Capstone/videos/videos/33601_2.mp4,0,12,36,66,16.614195334911347,14.738251686096191,16.26995849609375,19.07591438293457,2.7536704540252686,,,
validation,low,37139_1,/Users/josephkamil/Desktop/Capstone/videos/videos/37139_1.mp4,0,6,66,126,12.79008002281189,7.870583534240723,12.349688529968262,17.15779685974121,-4.528039932250977,,,
