video_id,video_path,target,label,split,window_start_seconds,window_end_seconds,source_interval_index,sampling_type,error
68794_1,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/68794_1.mp4,elbow_error,0,train,3.5878,5.0878,,clean_video_negative,insufficient_pose_frames
69116_4,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/69116_4.mp4,elbow_error,1,test,1.22,2.72,2,annotated_positive,insufficient_pose_frames
69116_4,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/69116_4.mp4,knee_error,0,test,0.6117,2.1117,,clean_video_negative,insufficient_pose_frames
69862_4,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/69862_4.mp4,elbow_error,0,train,0.7914,2.2914,,clean_video_negative,insufficient_pose_frames
69883_1,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/69883_1.mp4,elbow_error,0,test,0.3873,1.8873,,clean_video_negative,insufficient_pose_frames
69883_1,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/69883_1.mp4,knee_error,0,test,0.604,2.104,,clean_video_negative,insufficient_pose_frames
70068_2,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/70068_2.mp4,elbow_error,0,train,0.6114,2.1114,,clean_video_negative,insufficient_pose_frames
70098_5,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/70098_5.mp4,elbow_error,0,train,0.0,1.3,,clean_video_negative,insufficient_pose_frames
70098_5,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/70098_5.mp4,knee_error,0,train,0.0,1.3,,clean_video_negative,insufficient_pose_frames
71008_1,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/71008_1.mp4,elbow_error,0,train,4.0732,5.5732,,clean_video_negative,insufficient_pose_frames
74574_4,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/74574_4.mp4,knee_error,0,train,0.5273,2.0273,,clean_video_negative,insufficient_pose_frames
74960_1,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/74960_1.mp4,elbow_error,0,test,0.8589,2.3589,,clean_video_negative,insufficient_pose_frames
75752_1,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/75752_1.mp4,knee_error,0,test,2.2731,3.7731,,clean_video_negative,insufficient_pose_frames
76276_1,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/76276_1.mp4,knee_error,1,test,0.0,1.5,1,annotated_positive,insufficient_pose_frames
76474_1,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/76474_1.mp4,elbow_error,0,train,2.6605,4.1605,,clean_video_negative,insufficient_pose_frames
76709_1,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/76709_1.mp4,elbow_error,0,val,3.0037,4.5037,,clean_video_negative,insufficient_pose_frames
77051_5,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/77051_5.mp4,elbow_error,0,train,2.0962,3.5962,,clean_video_negative,insufficient_pose_frames
77051_5,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/77051_5.mp4,knee_error,0,train,4.2894,5.7894,,clean_video_negative,insufficient_pose_frames
77806_2,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/77806_2.mp4,knee_error,1,train,0.0,1.5,1,annotated_positive,insufficient_pose_frames
78410_3,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/78410_3.mp4,elbow_error,0,val,0.9899,2.4899,,clean_video_negative,insufficient_pose_frames
78410_3,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/78410_3.mp4,knee_error,1,val,0.0,1.5,1,annotated_positive,insufficient_pose_frames
78410_3,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/78410_3.mp4,knee_error,1,val,1.4,2.9,2,annotated_positive,insufficient_pose_frames
79026_1,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/79026_1.mp4,knee_error,1,train,2.135,3.635,1,annotated_positive,insufficient_pose_frames
79123_3,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/79123_3.mp4,elbow_error,0,val,0.5483,2.0483,,clean_video_negative,insufficient_pose_frames
79123_3,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/79123_3.mp4,knee_error,0,val,0.022,1.522,,clean_video_negative,insufficient_pose_frames
79695_1,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/79695_1.mp4,knee_error,0,train,0.9719,2.4719,,clean_video_negative,insufficient_pose_frames
79891_3,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/79891_3.mp4,elbow_error,0,test,3.1526,4.6526,,clean_video_negative,insufficient_pose_frames
79891_3,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/79891_3.mp4,knee_error,1,test,3.745,5.245,2,annotated_positive,insufficient_pose_frames
80825_1,/Users/josephkamil/Desktop/Capstone/videos-OHP/videos/80825_1.mp4,knee_error,1,val,1.7,3.2,2,annotated_positive,insufficient_pose_frames
