keep,label,canonical,duplicate,trusted
YES,squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_20.mp4,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_20.mp4,True
,deadlift,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/deadlift/Deadlift- bar drift.mov,/Users/josephkamil/Desktop/Capstone/Deadlift- bar drift.mov,False
YES,deadlift,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/deadlift/Deadlift- bar drift.mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/deadlift/Deadlift- bar drift.mov,True
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_front/Front Squat- Depth.mov,/Users/josephkamil/Desktop/Capstone/Front Squat- Depth.mov,False
YES,squat_front,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_front/Front Squat- Depth.mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_front/Front Squat- Depth.mov,True
,overhead_squat,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/overhead_squat/OverheadSquat- correct5.mov,/Users/josephkamil/Desktop/Capstone/OverheadSquat- correct5.mov,False
YES,overhead_squat,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/overhead_squat/OverheadSquat- correct5.mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/overhead_squat/OverheadSquat- correct5.mov,True
,bench_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/bench_press/Bench press- head lift.mov,/Users/josephkamil/Desktop/Capstone/Bench press- head lift.mov,False
YES,bench_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/bench_press/Bench press- head lift.mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/bench_press/Bench press- head lift.mov,True
,overhead_squat,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/overhead_squat/OverheadSquat- correct4.mov,/Users/josephkamil/Desktop/Capstone/OverheadSquat- correct4.mov,False
YES,overhead_squat,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/overhead_squat/OverheadSquat- correct4.mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/overhead_squat/OverheadSquat- correct4.mov,True
,bench_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/bench_press/Bench press- elbow flare.mov,/Users/josephkamil/Desktop/Capstone/Bench press- elbow flare.mov,False
YES,bench_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/bench_press/Bench press- elbow flare.mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/bench_press/Bench press- elbow flare.mov,True
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_15.mp4,/Users/josephkamil/Desktop/Capstone/squat_15.mp4,False
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_15.mp4,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_15.mp4,False
YES,squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_15.mp4,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_15.mp4,True
YES,unknown,/Users/josephkamil/Desktop/Capstone/squat_29.mp4,/Users/josephkamil/Desktop/Capstone/squat_29.mp4,False
,unknown,/Users/josephkamil/Desktop/Capstone/squat_29.mp4,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_29.mp4,False
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_front/Front squats- butt wink .mov,/Users/josephkamil/Desktop/Capstone/Front squats- butt wink .mov,False
YES,squat_front,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_front/Front squats- butt wink .mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_front/Front squats- butt wink .mov,True
,deadlift,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/deadlift/Deadlift - bad back.mov,/Users/josephkamil/Desktop/Capstone/Deadlift - bad back.mov,False
YES,deadlift,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/deadlift/Deadlift - bad back.mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/deadlift/Deadlift - bad back.mov,True
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_12.mp4,/Users/josephkamil/Desktop/Capstone/squat_12.mp4,False
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_12.mp4,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_12.mp4,False
YES,squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_12.mp4,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_12.mp4,True
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_front/Front squats- bar drift.mov,/Users/josephkamil/Desktop/Capstone/Front squats- bar drift.mov,False
YES,squat_front,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_front/Front squats- bar drift.mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_front/Front squats- bar drift.mov,True
YES,unknown,/Users/josephkamil/Desktop/Capstone/squat_13.mp4,/Users/josephkamil/Desktop/Capstone/squat_13.mp4,False
,unknown,/Users/josephkamil/Desktop/Capstone/squat_13.mp4,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_13.mp4,False
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_11.mp4,/Users/josephkamil/Desktop/Capstone/squat_11.mp4,False
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_11.mp4,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_11.mp4,False
YES,squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_11.mp4,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_11.mp4,True
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_front/Front squat- elbow drop.mov,/Users/josephkamil/Desktop/Capstone/Front squat- elbow drop.mov,False
YES,squat_front,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_front/Front squat- elbow drop.mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_front/Front squat- elbow drop.mov,True
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_10.mp4,/Users/josephkamil/Desktop/Capstone/squat_10.mp4,False
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_10.mp4,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_10.mp4,False
YES,squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_10.mp4,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_10.mp4,True
,bench_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/bench_press/Bench press- arch.mov,/Users/josephkamil/Desktop/Capstone/Bench press- arch.mov,False
YES,bench_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/bench_press/Bench press- arch.mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/bench_press/Bench press- arch.mov,True
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/Back squats- forward lean.mov,/Users/josephkamil/Desktop/Capstone/Back squats- forward lean.mov,False
YES,squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/Back squats- forward lean.mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/Back squats- forward lean.mov,True
,push_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/Push press- diptiming.mov,/Users/josephkamil/Desktop/Capstone/Push press- diptiming.mov,False
YES,push_press,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/Push press- diptiming.mov,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/Push press- diptiming.mov,True
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_14.mp4,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_14.mp4,False
YES,squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_14.mp4,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_14.mp4,True
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_5.MOV,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_5.MOV,False
YES,squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_5.MOV,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_5.MOV,True
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_4.MOV,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_4.MOV,False
YES,squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_4.MOV,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_4.MOV,True
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_6.MOV,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_6.MOV,False
YES,squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_6.MOV,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_6.MOV,True
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_16.mp4,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_16.mp4,False
YES,squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_16.mp4,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_16.mp4,True
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_3.MOV,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_3.MOV,False
YES,squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_3.MOV,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_3.MOV,True
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_2.MOV,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_2.MOV,False
YES,squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_2.MOV,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_2.MOV,True
,unknown,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_1.MOV,/Users/josephkamil/Desktop/Capstone/squat_keep/squat_1.MOV,False
YES,squat_back,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_1.MOV,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/squat_back/squat_1.MOV,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g01_c05.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g01_c05.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g01_c05.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g01_c05.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g09_c03.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g09_c03.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g09_c03.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g09_c03.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g19_c03.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g19_c03.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g19_c03.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g19_c03.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g19_c02.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g19_c02.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g19_c02.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g19_c02.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g09_c02.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g09_c02.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g09_c02.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g09_c02.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g10_c01.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g10_c01.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g10_c01.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g10_c01.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g01_c04.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g01_c04.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g01_c04.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g01_c04.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g11_c04.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g11_c04.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g11_c04.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g11_c04.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g10_c03.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g10_c03.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g10_c03.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g10_c03.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g09_c01.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g09_c01.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g09_c01.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g09_c01.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g19_c01.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g19_c01.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g19_c01.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g19_c01.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g18_c04.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g18_c04.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g18_c04.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g18_c04.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g08_c04.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g08_c04.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g08_c04.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g08_c04.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g10_c02.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g10_c02.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g10_c02.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g10_c02.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g01_c03.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g01_c03.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g01_c03.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g01_c03.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g11_c03.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g11_c03.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g11_c03.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g11_c03.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g09_c04.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g09_c04.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g09_c04.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g09_c04.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g19_c04.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g19_c04.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g19_c04.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g19_c04.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g18_c01.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g18_c01.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g18_c01.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g18_c01.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g08_c01.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g08_c01.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g08_c01.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g08_c01.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g11_c02.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g11_c02.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g11_c02.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g11_c02.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g01_c02.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g01_c02.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g01_c02.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g01_c02.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g18_c03.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g18_c03.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g18_c03.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g18_c03.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g08_c03.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g08_c03.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g08_c03.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g08_c03.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g08_c02.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g08_c02.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g08_c02.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g08_c02.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g18_c02.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g18_c02.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g18_c02.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g18_c02.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g10_c04.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g10_c04.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g10_c04.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g10_c04.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g01_c01.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g01_c01.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g01_c01.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g01_c01.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g11_c01.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g11_c01.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g11_c01.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g11_c01.avi,True
,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g13_c03.avi,/Users/josephkamil/Desktop/Capstone/PushUps/v_PushUps_g13_c03.avi,True
YES,push_up,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g13_c03.avi,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/not_oly/v_PushUps_g13_c03.avi,True
