label,labels_in_group,name,size,parent,trusted,path
strict_press,"push_press,strict_press",shoulder press_19.MOV,74479189,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_19.MOV
push_press,"push_press,strict_press",6397dc79-5ba3-4244-a426-c24d6e7cfeb0.mp4,461046,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/6397dc79-5ba3-4244-a426-c24d6e7cfeb0.mp4
strict_press,"push_press,strict_press",6397dc79-5ba3-4244-a426-c24d6e7cfeb0.mp4,461046,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/6397dc79-5ba3-4244-a426-c24d6e7cfeb0.mp4
push_press,"push_press,strict_press",51f72e68-ec28-4272-b15c-45586c244398.mp4,3615048,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/51f72e68-ec28-4272-b15c-45586c244398.mp4
strict_press,"push_press,strict_press",51f72e68-ec28-4272-b15c-45586c244398.mp4,3615048,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/51f72e68-ec28-4272-b15c-45586c244398.mp4
push_press,"push_press,strict_press",shoulder press_3.MOV,45937856,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_3.MOV
strict_press,"push_press,strict_press",shoulder press_3.MOV,45937856,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_3.MOV
push_press,"push_press,strict_press",30fe126e-0985-48af-813f-65c30d49913d.mp4,2391820,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/30fe126e-0985-48af-813f-65c30d49913d.mp4
strict_press,"push_press,strict_press",30fe126e-0985-48af-813f-65c30d49913d.mp4,2391820,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/30fe126e-0985-48af-813f-65c30d49913d.mp4
push_press,"push_press,strict_press",f44ec93a-ce42-46a4-97f4-015bea952a00.mp4,6979211,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/f44ec93a-ce42-46a4-97f4-015bea952a00.mp4
strict_press,"push_press,strict_press",f44ec93a-ce42-46a4-97f4-015bea952a00.mp4,6979211,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/f44ec93a-ce42-46a4-97f4-015bea952a00.mp4
push_press,"push_press,strict_press",shoulder press_4.MOV,53886217,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_4.MOV
strict_press,"push_press,strict_press",shoulder press_4.MOV,53886217,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_4.MOV
push_press,"push_press,strict_press",shoulder press_15.mp4,5644624,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_15.mp4
strict_press,"push_press,strict_press",shoulder press_15.mp4,5644624,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_15.mp4
push_press,"push_press,strict_press",shoulder press_14.mp4,3178175,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_14.mp4
strict_press,"push_press,strict_press",shoulder press_14.mp4,3178175,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_14.mp4
push_press,"push_press,strict_press",shoulder press_1.mp4,5332355,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_1.mp4
strict_press,"push_press,strict_press",shoulder press_1.mp4,5332355,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_1.mp4
push_press,"push_press,strict_press",shoulder press_3.mp4,19248957,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_3.mp4
strict_press,"push_press,strict_press",shoulder press_3.mp4,19248957,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_3.mp4
push_press,"push_press,strict_press",shoulder press_16.mp4,7310146,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_16.mp4
strict_press,"push_press,strict_press",shoulder press_16.mp4,7310146,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_16.mp4
push_press,"push_press,strict_press",shoulder press_17.mp4,7727134,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_17.mp4
strict_press,"push_press,strict_press",shoulder press_17.mp4,7727134,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_17.mp4
push_press,"push_press,strict_press",shoulder press_2.mp4,1059806,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_2.mp4
strict_press,"push_press,strict_press",shoulder press_2.mp4,1059806,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_2.mp4
push_press,"push_press,strict_press",shoulder press_13.mp4,3644697,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_13.mp4
strict_press,"push_press,strict_press",shoulder press_13.mp4,3644697,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_13.mp4
push_press,"push_press,strict_press",shoulder press_6.mp4,3755079,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_6.mp4
strict_press,"push_press,strict_press",shoulder press_6.mp4,3755079,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_6.mp4
push_press,"push_press,strict_press",shoulder press_7.mp4,7491881,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_7.mp4
strict_press,"push_press,strict_press",shoulder press_7.mp4,7491881,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_7.mp4
push_press,"push_press,strict_press",shoulder press_12.mp4,4760451,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_12.mp4
strict_press,"push_press,strict_press",shoulder press_12.mp4,4760451,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_12.mp4
push_press,"push_press,strict_press",shoulder press_10.mp4,6753325,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_10.mp4
strict_press,"push_press,strict_press",shoulder press_10.mp4,6753325,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_10.mp4
push_press,"push_press,strict_press",shoulder press_5.mp4,8614244,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_5.mp4
strict_press,"push_press,strict_press",shoulder press_5.mp4,8614244,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_5.mp4
push_press,"push_press,strict_press",shoulder press_4.mp4,17600177,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_4.mp4
strict_press,"push_press,strict_press",shoulder press_4.mp4,17600177,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_4.mp4
push_press,"push_press,strict_press",shoulder press_11.mp4,3902993,push_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/push_press/shoulder press_11.mp4
strict_press,"push_press,strict_press",shoulder press_11.mp4,3902993,strict_press,True,/Users/josephkamil/Desktop/Capstone/data/dataset_v2/raw/strict_press/shoulder press_11.mp4
clean,"clean,clean_and_jerk",clean_correct_320x240.mp4,207590,real_clean,True,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/real_clean/clean_correct_320x240.mp4
clean_and_jerk,"clean,clean_and_jerk",clean_correct_320x240.mp4,207590,clean_and_jerk,True,/Users/josephkamil/Desktop/Capstone/Oly_Data/raw/real_router/clean_and_jerk/clean_correct_320x240.mp4
